Beat,Offense,Count
U3,Theft From Motor Vehicle,1
U3,Theft From Motor Vehicle,1
Q3,All Other Larceny,1
Q2,Destruction/Damage/Vandalism of Property,1
Q3,All Other Larceny,1
Q2,All Other Larceny,1
E1,Theft From Building,1
Q3,Identity Theft,1
U3,Theft From Motor Vehicle,1
U3,Theft From Motor Vehicle,1
R2,Shoplifting,1
U3,Theft From Motor Vehicle,1
E1,Motor Vehicle Theft,1
E1,Theft From Motor Vehicle,1
L2,All Other Larceny,1
U3,Theft From Motor Vehicle,1
Q3,Theft From Motor Vehicle,1
K3,Destruction/Damage/Vandalism of Property,1
K3,Destruction/Damage/Vandalism of Property,1
B2,Theft of Motor Vehicle Parts or Accessories,1
B2,Theft From Motor Vehicle,1
U1,Motor Vehicle Theft,1
B1,Theft From Motor Vehicle,1
U3,Identity Theft,1
U1,All Other Larceny,1
B1,Theft From Motor Vehicle,1
U1,Theft From Motor Vehicle,1
B3,Theft From Motor Vehicle,1
B2,Theft From Motor Vehicle,1
D2,Theft From Motor Vehicle,1
R2,Theft From Motor Vehicle,1
U3,Theft From Motor Vehicle,1
U2,Theft From Motor Vehicle,1
U2,Theft From Motor Vehicle,1
B2,Destruction/Damage/Vandalism of Property,1
U2,Destruction/Damage/Vandalism of Property,1
U2,Destruction/Damage/Vandalism of Property,1
B2,Theft of Motor Vehicle Parts or Accessories,1
K3,Theft From Building,1
B2,All Other Larceny,1
U1,Shoplifting,1
D2,Theft From Building,1
U1,Destruction/Damage/Vandalism of Property,1
U3,Shoplifting,1
D3,Theft From Building,1
U3,Shoplifting,1
B2,Shoplifting,1
E1,Robbery,1
Q2,Theft From Motor Vehicle,1
Q3,Theft From Motor Vehicle,1
Q2,Theft of Motor Vehicle Parts or Accessories,1
B1,Theft From Motor Vehicle,1
U2,Theft From Motor Vehicle,1
B2,Theft From Motor Vehicle,1
D3,All Other Larceny,1
U3,All Other Larceny,1
U3,Theft From Motor Vehicle,1
E1,All Other Larceny,1
Q2,Theft From Motor Vehicle,1
B3,Theft From Motor Vehicle,1
Q2,Theft From Motor Vehicle,1
U3,Theft From Motor Vehicle,1
B3,Theft From Motor Vehicle,1
U1,Theft of Motor Vehicle Parts or Accessories,1
L2,Theft From Motor Vehicle,1
B2,Theft From Motor Vehicle,1
Q3,Theft From Motor Vehicle,1
B2,Destruction/Damage/Vandalism of Property,1
Q2,Theft From Motor Vehicle,1
B2,All Other Larceny,1
U1,Destruction/Damage/Vandalism of Property,1
B3,Identity Theft,1
U3,All Other Larceny,1
U2,All Other Larceny,1
B1,Theft From Motor Vehicle,1
D3,Theft of Motor Vehicle Parts or Accessories,1
B2,Motor Vehicle Theft,1
B2,All Other Larceny,1
B2,Destruction/Damage/Vandalism of Property,1
B2,All Other Larceny,1
U2,Theft From Motor Vehicle,1
K3,Theft From Motor Vehicle,1
U2,Theft From Motor Vehicle,1
Q2,Theft From Motor Vehicle,1
U1,All Other Larceny,1
B2,Shoplifting,1
B2,All Other Larceny,1
U2,Motor Vehicle Theft,1
U1,All Other Larceny,1
R2,Robbery,1
U3,Theft From Building,1
K3,Motor Vehicle Theft,1
B1,Theft of Motor Vehicle Parts or Accessories,1
R2,Theft of Motor Vehicle Parts or Accessories,1
B3,All Other Larceny,1
U3,Theft From Motor Vehicle,1
D3,Theft From Motor Vehicle,1
B2,Motor Vehicle Theft,1
U3,Robbery,1
L2,All Other Larceny,1
R2,Destruction/Damage/Vandalism of Property,1
B1,Theft From Motor Vehicle,1
D3,Theft From Motor Vehicle,1
B1,Theft From Motor Vehicle,1
Q3,Theft From Motor Vehicle,1
Q3,Theft From Building,1
R2,Shoplifting,1
U1,Motor Vehicle Theft,1
R2,Theft From Building,1
L2,All Other Larceny,1
B2,Destruction/Damage/Vandalism of Property,1
B1,Theft of Motor Vehicle Parts or Accessories,1
B1,Theft From Motor Vehicle,1
B2,Identity Theft,1
B1,All Other Larceny,1
Q2,Theft From Building,1
L2,Shoplifting,1
K3,Theft From Motor Vehicle,1
L2,Theft From Motor Vehicle,1
Q2,Theft From Motor Vehicle,1
U1,All Other Larceny,1
U1,Theft From Motor Vehicle,1
Q2,Destruction/Damage/Vandalism of Property,1
L2,Motor Vehicle Theft,1
K3,Destruction/Damage/Vandalism of Property,1
U2,Shoplifting,1
U2,Destruction/Damage/Vandalism of Property,1
B1,Motor Vehicle Theft,1
L2,Destruction/Damage/Vandalism of Property,1
B1,All Other Larceny,1
D2,Destruction/Damage/Vandalism of Property,1
U3,Shoplifting,1
Q2,Motor Vehicle Theft,1
B2,Motor Vehicle Theft,1
U2,Shoplifting,1
B2,Theft From Motor Vehicle,1
R2,Theft From Motor Vehicle,1
U1,Theft of Motor Vehicle Parts or Accessories,1
B2,All Other Larceny,1
U3,Theft From Motor Vehicle,1
Q2,Theft From Motor Vehicle,1
R2,Destruction/Damage/Vandalism of Property,1
E1,Theft From Motor Vehicle,1
U3,Theft From Motor Vehicle,1
B2,All Other Larceny,1
U1,Theft From Motor Vehicle,1
U3,Theft From Motor Vehicle,1
U2,Destruction/Damage/Vandalism of Property,1
B2,Theft From Motor Vehicle,1
B2,Theft of Motor Vehicle Parts or Accessories,1
Q3,Shoplifting,1
U3,All Other Larceny,1
U2,Destruction/Damage/Vandalism of Property,1
L2,Destruction/Damage/Vandalism of Property,1
B2,Theft of Motor Vehicle Parts or Accessories,1
B1,Theft From Motor Vehicle,1
Q2,All Other Larceny,1
U3,Theft of Motor Vehicle Parts or Accessories,1
R2,Shoplifting,1
U1,Motor Vehicle Theft,1
B1,Theft From Motor Vehicle,1
B1,Theft From Motor Vehicle,1
B1,Theft From Motor Vehicle,1
E1,Theft From Motor Vehicle,1
D3,Theft From Motor Vehicle,1
Q2,Identity Theft,1
U1,Theft From Motor Vehicle,1
E1,Theft From Motor Vehicle,1
B2,Motor Vehicle Theft,1
U1,Destruction/Damage/Vandalism of Property,1
U2,Destruction/Damage/Vandalism of Property,1
L2,Destruction/Damage/Vandalism of Property,1
Q2,All Other Larceny,1
U3,Theft From Building,1
K3,Theft of Motor Vehicle Parts or Accessories,1
K3,Theft From Motor Vehicle,1
D2,Theft From Motor Vehicle,1
Q2,All Other Larceny,1
D2,Identity Theft,1
B3,Motor Vehicle Theft,1
U1,Destruction/Damage/Vandalism of Property,1
Q2,Destruction/Damage/Vandalism of Property,1
U1,Motor Vehicle Theft,1
B2,Theft From Motor Vehicle,1
D3,All Other Larceny,1
D3,Theft From Motor Vehicle,1
U2,Shoplifting,1
Q3,Theft of Motor Vehicle Parts or Accessories,1
D3,Theft From Motor Vehicle,1
D3,Theft From Motor Vehicle,1
E1,Theft From Building,1
D3,Theft From Motor Vehicle,1
Q2,Theft From Motor Vehicle,1
Q3,Motor Vehicle Theft,1
U2,Theft From Motor Vehicle,1
B3,Theft From Building,1
B3,Theft From Motor Vehicle,1
U3,Theft From Motor Vehicle,1
D2,Theft From Building,1
Q2,Destruction/Damage/Vandalism of Property,1
Q2,Robbery,1
L2,All Other Larceny,1
B2,Motor Vehicle Theft,1
L2,Shoplifting,1
U3,Theft From Motor Vehicle,1
U3,Theft From Motor Vehicle,1
B2,Motor Vehicle Theft,1
K3,Theft From Motor Vehicle,1
B3,Motor Vehicle Theft,1
Q3,Destruction/Damage/Vandalism of Property,1
B2,Theft From Motor Vehicle,1
U3,Theft From Motor Vehicle,1
U3,Theft From Motor Vehicle,1
B3,Theft From Motor Vehicle,1
B3,Theft From Motor Vehicle,1
B3,Theft From Motor Vehicle,1
Q2,Theft From Motor Vehicle,1
U2,Theft From Motor Vehicle,1
U2,Shoplifting,1
U2,Theft From Motor Vehicle,1
B1,Destruction/Damage/Vandalism of Property,1
R2,Destruction/Damage/Vandalism of Property,1
B1,Motor Vehicle Theft,1
R2,Shoplifting,1
U1,Theft From Building,1
Q3,Shoplifting,1
Q3,Shoplifting,1
K3,Theft From Motor Vehicle,1
L2,Motor Vehicle Theft,1
U1,Shoplifting,1
E1,Destruction/Damage/Vandalism of Property,1
U3,Destruction/Damage/Vandalism of Property,1
U1,Shoplifting,1
U1,Theft From Motor Vehicle,1
U1,Motor Vehicle Theft,1
Q3,Theft From Motor Vehicle,1
R2,Theft of Motor Vehicle Parts or Accessories,1
U3,Theft From Motor Vehicle,1
U2,Robbery,1
B2,Theft From Motor Vehicle,1
B1,Theft From Building,1
E1,Theft From Building,1
B1,Theft From Building,1
U3,Theft From Motor Vehicle,1
L2,Identity Theft,1
L2,Theft From Motor Vehicle,1
U1,Theft From Motor Vehicle,1
U2,Shoplifting,1
K3,Theft From Motor Vehicle,1
U2,All Other Larceny,1
U3,Theft From Motor Vehicle,1
B2,Theft From Motor Vehicle,1
B1,Theft From Motor Vehicle,1
E1,Theft From Motor Vehicle,1
B1,Theft From Motor Vehicle,1
B3,Theft From Motor Vehicle,1
R2,Theft of Motor Vehicle Parts or Accessories,1
E1,Motor Vehicle Theft,1
K3,All Other Larceny,1
R2,Shoplifting,1
D3,Theft From Motor Vehicle,1
E1,Theft From Motor Vehicle,1
U3,Theft From Motor Vehicle,1
L2,Theft From Motor Vehicle,1
B2,Theft From Motor Vehicle,1
U2,Robbery,1
R2,Robbery,1
K3,Destruction/Damage/Vandalism of Property,1
Q2,Robbery,1
B2,Theft From Motor Vehicle,1
B3,Destruction/Damage/Vandalism of Property,1
U2,Shoplifting,1
U3,Theft From Motor Vehicle,1
R2,Robbery,1
D2,Theft From Motor Vehicle,1
B1,Theft From Motor Vehicle,1
B3,Theft From Motor Vehicle,1
B2,Theft From Motor Vehicle,1
B1,All Other Larceny,1
U2,Theft From Motor Vehicle,1
D3,Theft From Motor Vehicle,1
B3,Theft From Motor Vehicle,1
U1,Theft From Building,1
Q2,Identity Theft,1
K3,Theft From Motor Vehicle,1
Q2,Theft From Building,1
U2,Shoplifting,1
D3,All Other Larceny,1
D2,Theft From Building,1
U2,Theft From Motor Vehicle,1
D2,Theft From Motor Vehicle,1
D2,Destruction/Damage/Vandalism of Property,1
B2,Theft From Motor Vehicle,1
R2,Theft From Motor Vehicle,1
Q2,Motor Vehicle Theft,1
K3,Destruction/Damage/Vandalism of Property,1
U1,Shoplifting,1
R2,Theft From Building,1
E1,Theft From Motor Vehicle,1
B2,All Other Larceny,1
L2,Theft From Motor Vehicle,1
B2,Theft From Motor Vehicle,1
Q3,Motor Vehicle Theft,1
Q3,Theft From Motor Vehicle,1
L2,Theft From Motor Vehicle,1
K3,Theft From Motor Vehicle,1
U2,Theft From Motor Vehicle,1
U1,Theft From Motor Vehicle,1
B3,Theft From Motor Vehicle,1
B3,Theft From Motor Vehicle,1
D2,Theft From Motor Vehicle,1
U2,Theft From Motor Vehicle,1
U1,All Other Larceny,1
D2,Theft From Motor Vehicle,1
B1,Theft From Motor Vehicle,1
U2,Theft From Motor Vehicle,1
Q3,Theft From Motor Vehicle,1
U1,Motor Vehicle Theft,1
U3,Robbery,1
B2,Theft of Motor Vehicle Parts or Accessories,1
U3,Theft From Motor Vehicle,1
U1,Theft From Motor Vehicle,1
B3,Theft From Motor Vehicle,1
E1,Theft From Motor Vehicle,1
R2,Theft From Motor Vehicle,1
B3,Theft From Motor Vehicle,1
B1,Theft From Motor Vehicle,1
D3,Theft From Building,1
U1,Destruction/Damage/Vandalism of Property,1
D3,Theft From Building,1
D3,Theft From Building,1
D3,All Other Larceny,1
U2,Theft From Motor Vehicle,1
U1,Theft From Motor Vehicle,1
B3,Theft From Motor Vehicle,1
D3,Destruction/Damage/Vandalism of Property,1
L2,Shoplifting,1
Q2,Theft From Motor Vehicle,1
U2,Theft From Building,1
B1,Motor Vehicle Theft,1
U3,All Other Larceny,1
U1,Theft of Motor Vehicle Parts or Accessories,1
B1,Theft From Motor Vehicle,1
U2,Destruction/Damage/Vandalism of Property,1
L2,Motor Vehicle Theft,1
B3,Destruction/Damage/Vandalism of Property,1
R2,All Other Larceny,1
D3,Theft From Motor Vehicle,1
Q3,Theft From Motor Vehicle,1
L2,Theft From Motor Vehicle,1
U1,Robbery,1
E1,Motor Vehicle Theft,1
D2,Motor Vehicle Theft,1
B3,Motor Vehicle Theft,1
L2,Shoplifting,1
U2,Shoplifting,1
B3,Destruction/Damage/Vandalism of Property,1
B1,Shoplifting,1
U1,Motor Vehicle Theft,1
U2,Destruction/Damage/Vandalism of Property,1
D2,All Other Larceny,1
B3,Theft From Motor Vehicle,1
R2,Theft From Motor Vehicle,1
U1,Theft From Motor Vehicle,1
D3,Theft From Building,1
Q2,Theft From Building,1
U3,Shoplifting,1
R2,Robbery,1
K3,Destruction/Damage/Vandalism of Property,1
B2,Shoplifting,1
K3,Destruction/Damage/Vandalism of Property,1
R2,Destruction/Damage/Vandalism of Property,1
U1,Destruction/Damage/Vandalism of Property,1
B3,Destruction/Damage/Vandalism of Property,1
D3,Theft From Motor Vehicle,1
U1,Theft From Motor Vehicle,1
U1,Motor Vehicle Theft,1
U1,Theft From Motor Vehicle,1
Q3,Destruction/Damage/Vandalism of Property,1
D2,Theft From Building,1
K3,Theft From Motor Vehicle,1
Q3,Theft From Motor Vehicle,1
Q3,Destruction/Damage/Vandalism of Property,1
B1,Theft From Motor Vehicle,1
Q3,Theft From Motor Vehicle,1
B1,All Other Larceny,1
U1,Theft From Motor Vehicle,1
D2,Destruction/Damage/Vandalism of Property,1
E1,All Other Larceny,1
B3,Theft From Motor Vehicle,1
D3,Theft From Motor Vehicle,1
Q3,Theft From Motor Vehicle,1
L2,Theft From Motor Vehicle,1
U3,All Other Larceny,1
L2,Motor Vehicle Theft,1
R2,All Other Larceny,1
D2,Destruction/Damage/Vandalism of Property,1
Q2,All Other Larceny,1
B2,Motor Vehicle Theft,1
E1,Theft From Building,1
U3,Shoplifting,1
L2,Robbery,1
U1,Shoplifting,1
U1,Theft From Motor Vehicle,1
K3,Shoplifting,1
U3,Shoplifting,1
L2,Shoplifting,1
L2,Theft From Motor Vehicle,1
Q2,Theft From Motor Vehicle,1
D3,Theft From Motor Vehicle,1
E1,Shoplifting,1
E1,Theft From Motor Vehicle,1
B2,Motor Vehicle Theft,1
U1,Destruction/Damage/Vandalism of Property,1
E1,Theft From Motor Vehicle,1
L2,Identity Theft,1
B1,Destruction/Damage/Vandalism of Property,1
K3,Theft From Motor Vehicle,1
B2,Destruction/Damage/Vandalism of Property,1
R2,Shoplifting,1
R2,Shoplifting,1
D2,Theft From Building,1
K3,Destruction/Damage/Vandalism of Property,1
Q2,Destruction/Damage/Vandalism of Property,1
U2,Motor Vehicle Theft,1
U3,All Other Larceny,1
U2,All Other Larceny,1
Q3,Destruction/Damage/Vandalism of Property,1
Q2,Theft From Motor Vehicle,1
U1,Theft From Motor Vehicle,1
E1,Theft From Motor Vehicle,1
K3,Destruction/Damage/Vandalism of Property,1
Q3,Theft From Building,1
U2,Theft From Motor Vehicle,1
U2,Theft From Motor Vehicle,1
U2,Theft From Motor Vehicle,1
U1,Theft From Motor Vehicle,1
R2,Theft of Motor Vehicle Parts or Accessories,1
L2,Theft of Motor Vehicle Parts or Accessories,1
D2,Identity Theft,1
E1,Theft From Motor Vehicle,1
L2,Motor Vehicle Theft,1
